cleanliness,sleep_schedule,wakeup_time,noise_tolerance,smoking,drinking,exercise_frequency,diet,cooking_habits,food_sharing,pet_friendly,guest_policy,partying_at_home,overnight_guests
average,night_owl,08:30,moderate,yes,never,never,vegan,sometimes,yes,no,frequently,never,not_allowed
average,flexible,09:00,quiet,no,social,daily,vegan,sometimes,yes,no,sometimes,often,allowed
messy,flexible,07:00,moderate,no,social,daily,vegan,never,no,no,rarely,never,allowed
messy,flexible,07:15,moderate,no,never,never,non_veg,sometimes,no,no,frequently,never,allowed
very_clean,flexible,06:00,moderate,no,social,daily,veg,never,yes,yes,sometimes,never,allowed
very_clean,early_riser,07:45,loud,no,social,never,non_veg,often,no,no,sometimes,never,allowed
average,flexible,06:30,quiet,no,regular,never,veg,sometimes,yes,yes,rarely,sometimes,allowed
average,early_riser,08:45,loud,no,social,never,veg,never,no,no,rarely,often,not_allowed
average,night_owl,06:00,moderate,no,never,sometimes,non_veg,never,yes,yes,sometimes,often,allowed
average,early_riser,08:00,quiet,no,never,sometimes,non_veg,often,no,yes,rarely,never,allowed
average,flexible,07:45,moderate,no,social,daily,veg,never,no,no,rarely,never,not_allowed
very_clean,early_riser,07:45,moderate,no,never,never,vegan,never,yes,no,sometimes,often,allowed
messy,night_owl,08:45,quiet,no,social,daily,non_veg,never,no,yes,rarely,often,allowed
average,night_owl,06:30,quiet,yes,regular,never,vegan,never,no,no,sometimes,sometimes,allowed
very_clean,night_owl,08:00,quiet,no,social,never,non_veg,often,no,yes,rarely,often,not_allowed
very_clean,early_riser,08:30,quiet,yes,never,sometimes,non_veg,never,no,yes,sometimes,never,allowed
messy,flexible,08:00,loud,no,never,daily,non_veg,sometimes,yes,no,sometimes,sometimes,not_allowed
average,flexible,08:00,quiet,no,social,never,veg,sometimes,no,no,sometimes,never,not_allowed
average,night_owl,07:30,quiet,no,never,sometimes,vegan,sometimes,no,no,rarely,sometimes,not_allowed
very_clean,flexible,06:15,moderate,no,social,never,vegan,often,yes,no,rarely,sometimes,allowed
very_clean,flexible,07:30,loud,yes,social,sometimes,vegan,sometimes,yes,yes,frequently,often,not_allowed
very_clean,early_riser,07:30,moderate,no,social,never,veg,never,yes,yes,sometimes,sometimes,not_allowed
messy,night_owl,05:00,loud,no,social,daily,non_veg,often,yes,no,sometimes,never,not_allowed
average,early_riser,08:15,quiet,no,never,never,vegan,never,yes,no,rarely,sometimes,allowed
very_clean,flexible,08:45,quiet,no,social,daily,non_veg,often,no,yes,rarely,often,not_allowed
average,flexible,08:45,loud,no,regular,never,non_veg,never,no,no,sometimes,often,allowed
messy,night_owl,08:00,moderate,no,regular,daily,non_veg,never,yes,yes,sometimes,sometimes,not_allowed
messy,night_owl,07:00,moderate,no,social,sometimes,vegan,sometimes,yes,no,frequently,sometimes,allowed
average,night_owl,07:00,moderate,no,social,daily,vegan,often,yes,no,frequently,never,not_allowed
average,flexible,06:15,loud,yes,never,never,vegan,often,no,no,sometimes,never,allowed
very_clean,flexible,08:30,loud,yes,never,never,veg,often,no,no,rarely,never,not_allowed
